Dataset,Format,Operation,Energy,Time
Tanzania,GEOJSON,SELECT,0.0001683,0.25222578048706057
Tanzania,GEOJSON,INSERT,0.00017450999999999998,0.7222129583358765
Tanzania,GEOJSON,UPDATE,0.0001696,1.1805443048477173
Tanzania,GEOJSON,DELETE,0.00019599,0.8658360004425049
Tanzania,GEOJSON,JOIN,0.00016669999999999999,0.335131573677063
Tanzania,SHP,SELECT,0.00021316,0.09360635280609131
Tanzania,SHP,INSERT,0.00027965000000000005,0.28100788593292236
Tanzania,SHP,UPDATE,0.00020202000000000002,0.6788982152938843
Tanzania,SHP,DELETE,0.00021090000000000003,0.2716965675354004
Tanzania,SHP,JOIN,0.0001827,0.13454651832580566
Tanzania,GPKG,SELECT,0.00028991000000000005,0.09370160102844238
Tanzania,GPKG,INSERT,0.00037681000000000005,0.30812320709228513
Tanzania,GPKG,UPDATE,0.00035842000000000003,0.9442853212356568
Tanzania,GPKG,DELETE,0.00033113000000000006,0.2962959289550781
Tanzania,GPKG,JOIN,0.00031017,0.17556824684143066
Tanzania,PARQUET,SELECT,0.00031558,0.050328636169433595
Tanzania,PARQUET,INSERT,0.00048016000000000004,0.1346733808517456
Tanzania,PARQUET,UPDATE,0.00031774000000000006,0.7386556625366211
Tanzania,PARQUET,DELETE,0.00034983000000000003,0.1015697956085205
Tanzania,PARQUET,JOIN,0.00037381000000000003,0.11734883785247803
Maldives,GEOJSON,SELECT,0.00023083,0.06358909606933594
Maldives,GEOJSON,INSERT,0.00027057000000000003,0.17810606956481934
Maldives,GEOJSON,UPDATE,0.00022894000000000001,0.25440216064453125
Maldives,GEOJSON,DELETE,0.00019348000000000005,0.14247846603393555
Maldives,GEOJSON,JOIN,0.00021118,0.06873891353607178
Maldives,SHP,SELECT,0.0002279,0.031732487678527835
Maldives,SHP,INSERT,0.00026879,0.07063813209533691
Maldives,SHP,UPDATE,0.00021088999999999998,0.14840898513793946
Maldives,SHP,DELETE,0.00024190000000000003,0.0688173770904541
Maldives,SHP,JOIN,0.00023899999999999998,0.04246599674224853
Maldives,GPKG,SELECT,0.0002517,0.021204614639282228
Maldives,GPKG,INSERT,0.00021359,0.06967215538024903
Maldives,GPKG,UPDATE,0.00019358,0.17407586574554443
Maldives,GPKG,DELETE,0.00020016,0.083846116065979
Maldives,GPKG,JOIN,0.0002933,0.03617677688598633
Maldives,PARQUET,SELECT,0.00026198000000000004,0.015507245063781738
Maldives,PARQUET,INSERT,0.0005737000000000001,0.03739545345306396
Maldives,PARQUET,UPDATE,0.00019548,0.12056577205657959
Maldives,PARQUET,DELETE,0.00024925,0.025363516807556153
Maldives,PARQUET,JOIN,0.00023782,0.023700809478759764
Bosnia,GEOJSON,SELECT,0.00019249000000000002,0.14010188579559327
Bosnia,GEOJSON,INSERT,0.00021392000000000004,0.4563592433929443
Bosnia,GEOJSON,UPDATE,0.00023597,0.7162880897521973
Bosnia,GEOJSON,DELETE,0.00023216,0.4720569849014282
Bosnia,GEOJSON,JOIN,0.00019828000000000003,0.1897536039352417
Bosnia,SHP,SELECT,0.00020745,0.08579452037811279
Bosnia,SHP,INSERT,0.00023555000000000003,0.26872189044952394
Bosnia,SHP,UPDATE,0.00021533,0.7319862842559814
Bosnia,SHP,DELETE,0.00027098,0.30328543186187745
Bosnia,SHP,JOIN,0.00019104000000000001,0.1400737762451172
Bosnia,GPKG,SELECT,0.0001987,0.08104555606842041
Bosnia,GPKG,INSERT,0.0002011,0.21967196464538574
Bosnia,GPKG,UPDATE,0.00019203000000000002,0.6632241487503052
Bosnia,GPKG,DELETE,0.00018629,0.2206127643585205
Bosnia,GPKG,JOIN,0.00019398,0.12804276943206788
Bosnia,PARQUET,SELECT,0.00023449,0.04309813976287842
Bosnia,PARQUET,INSERT,0.00023742,0.08816545009613037
Bosnia,PARQUET,UPDATE,0.00022382,0.5633534669876099
Bosnia,PARQUET,DELETE,0.00020280000000000002,0.0778573989868164
Bosnia,PARQUET,JOIN,0.00019686,0.07739436626434326
