Dataset,Format,Operation,Energy,Time

Maldives,GeoJSON,SELECT,0.0002433,0.1106
Maldives,GeoJSON,INSERT,0.0002472,0.0700
Maldives,GeoJSON,UPDATE,0.0001962,0.1207
Maldives,GeoJSON,DELETE,0.0002282,0.0546
Maldives,GeoJSON,JOIN,0.0002172,0.0332

Maldives,SHP,SELECT,0.0002113,0.0362
Maldives,SHP,INSERT,0.0002453,0.0483
Maldives,SHP,UPDATE,0.0002033,0.1208
Maldives,SHP,DELETE,0.0002423,0.0501
Maldives,SHP,JOIN,0.0002633,0.0339

Maldives,GPKG,SELECT,0.0002353,0.0227
Maldives,GPKG,INSERT,0.0002193,0.0535
Maldives,GPKG,UPDATE,0.0002003,0.1241
Maldives,GPKG,DELETE,0.0002093,0.0496
Maldives,GPKG,JOIN,0.0002283,0.0186

Maldives,Parquet,SELECT,0.0002059,0.0873
Maldives,Parquet,INSERT,0.0002279,0.0493
Maldives,Parquet,UPDATE,0.0002020,0.0831
Maldives,Parquet,DELETE,0.0002251,0.0134
Maldives,Parquet,JOIN,0.0002921,0.0148

Tanzania,GeoJSON,SELECT,0.0002282,0.3373
Tanzania,GeoJSON,INSERT,0.0001976,0.6321
Tanzania,GeoJSON,UPDATE,0.0001877,0.9994
Tanzania,GeoJSON,DELETE,0.0002016,0.6057
Tanzania,GeoJSON,JOIN,0.0001847,0.2800

Tanzania,SHP,SELECT,0.0002106,0.0920
Tanzania,SHP,INSERT,0.0002436,0.2258
Tanzania,SHP,UPDATE,0.0002066,0.6051
Tanzania,SHP,DELETE,0.0002516,0.2232
Tanzania,SHP,JOIN,0.0002006,0.1068

Tanzania,GPKG,SELECT,0.0002066,0.0765
Tanzania,GPKG,INSERT,0.0001966,0.1923
Tanzania,GPKG,UPDATE,0.0001896,0.5728
Tanzania,GPKG,DELETE,0.0002076,0.1868
Tanzania,GPKG,JOIN,0.0001946,0.0983

Tanzania,Parquet,SELECT,0.0002174,0.0876
Tanzania,Parquet,INSERT,0.0001977,0.1265
Tanzania,Parquet,UPDATE,0.0001872,0.4122
Tanzania,Parquet,DELETE,0.0002112,0.0701
Tanzania,Parquet,JOIN,0.0002124,0.0697

Bosnia,GeoJSON,SELECT,0.0002502,0.3443
Bosnia,GeoJSON,INSERT,0.0002214,0.7905
Bosnia,GeoJSON,UPDATE,0.0002016,1.1187
Bosnia,GeoJSON,DELETE,0.0002356,0.7879
Bosnia,GeoJSON,JOIN,0.0002095,0.3194

Bosnia,SHP,SELECT,0.0002146,0.0937
Bosnia,SHP,INSERT,0.0002725,0.2631
Bosnia,SHP,UPDATE,0.0003065,0.6895
Bosnia,SHP,DELETE,0.0002617,0.2743
Bosnia,SHP,JOIN,0.0002215,0.1275

Bosnia,GPKG,SELECT,0.0001935,0.0823
Bosnia,GPKG,INSERT,0.0002075,0.1953
Bosnia,GPKG,UPDATE,0.0001965,0.5756
Bosnia,GPKG,DELETE,0.0002185,0.1998
Bosnia,GPKG,JOIN,0.0002145,0.1142

Bosnia,Parquet,SELECT,0.0001684,0.1453
Bosnia,Parquet,INSERT,0.0002347,0.1216
Bosnia,Parquet,UPDATE,0.0001943,0.4580
Bosnia,Parquet,DELETE,0.0002241,0.0932
Bosnia,Parquet,JOIN,0.0002094,0.0822
