operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
SELECT,geom_data/points.geojson,0.028306460380554198,0.007523176235352644,0.00020020000000000004,1.5793669617919706e-05,points,geojson
INSERT,geom_data/points.geojson,0.05105288028717041,0.0006524871088492603,0.00019594,9.765776978817416e-06,points,geojson
UPDATE,geom_data/points.geojson,0.11790196895599366,0.008040348880937388,0.00017999999999999998,6.9738081418977955e-06,points,geojson
DELETE,geom_data/points.geojson,0.05165584087371826,0.001208761283921223,0.00020212,8.169186005961682e-06,points,geojson
JOIN,geom_data/points.geojson,0.03936333656311035,0.007969505201732762,0.0002089,1.845128721796937e-05,points,geojson
SELECT,geom_data/points.shp,0.022510933876037597,0.0007934518806612442,0.0002209,2.891383751770076e-05,points,shp
INSERT,geom_data/points.shp,0.0448603630065918,0.0042464982933135085,0.00021789999999999998,1.4711899945282392e-05,points,shp
UPDATE,geom_data/points.shp,0.10684292316436768,0.0006503653657890294,0.00018824000000000003,8.811152024565236e-06,points,shp
DELETE,geom_data/points.shp,0.04237258434295654,0.0002718611744365492,0.0002149,8.013114251026247e-06,points,shp
JOIN,geom_data/points.shp,0.034216451644897464,0.007414844483606622,0.00019707,1.4443756436606094e-05,points,shp
SELECT,geom_data/points.gpkg,0.012370967864990234,0.00022056757743304657,0.00020629999999999997,1.6923652088128033e-05,points,gpkg
INSERT,geom_data/points.gpkg,0.06143019199371338,0.008078073199482099,0.000168,1.0173003489628817e-05,points,gpkg
UPDATE,geom_data/points.gpkg,0.1341698408126831,0.010919252706168996,0.00018014000000000002,3.3117765625114267e-05,points,gpkg
DELETE,geom_data/points.gpkg,0.05668220520019531,0.002493292061351897,0.00017564000000000002,1.0388378121728152e-05,points,gpkg
JOIN,geom_data/points.gpkg,0.02567446231842041,0.007608087529252336,0.000202,3.8911309409990305e-05,points,gpkg
SELECT,geom_data/points.parquet,0.006699657440185547,0.0005422529937408581,0.00022464999999999999,4.360140479388251e-05,points,parquet
INSERT,geom_data/points.parquet,0.01595783233642578,0.007822616907679632,0.00021894000000000001,3.3541383394248975e-05,points,parquet
UPDATE,geom_data/points.parquet,0.08282439708709717,0.0023436609775742555,0.0001923,1.2641598000252972e-05,points,parquet
DELETE,geom_data/points.parquet,0.014222335815429688,0.007916366090498,0.0002241,2.716214277261645e-05,points,parquet
JOIN,geom_data/points.parquet,0.021078968048095705,0.007864582783038988,0.00029988000000000004,0.0001632934769058458,points,parquet
SELECT,geom_data/lines.geojson,0.2285745620727539,0.00725338347712547,0.00017128000000000003,5.560539542166753e-06,lines,geojson
INSERT,geom_data/lines.geojson,0.528758955001831,0.026673643632965757,0.00020322,5.978201736308338e-05,lines,geojson
