format,operation,energy,time
PARQUET_UNCOMPRESSED,SELECT,0.0001895,0.12606
PARQUET_UNCOMPRESSED,INSERT,0.0002468,0.05002
PARQUET_UNCOMPRESSED,UPDATE,0.0001862,0.39851
PARQUET_UNCOMPRESSED,DELETE,0.0002261,0.04458
PARQUET_UNCOMPRESSED,JOIN,0.0002011,0.09437

PARQUET_SNAPPY,SELECT,0.0002093,0.05036
PARQUET_SNAPPY,INSERT,0.0002442,0.05043
PARQUET_SNAPPY,UPDATE,0.0001924,0.39324
PARQUET_SNAPPY,DELETE,0.0002164,0.04143
PARQUET_SNAPPY,JOIN,0.0002116,0.08476

PARQUET_ZSTD,SELECT,0.0001896,0.05379
PARQUET_ZSTD,INSERT,0.0002147,0.06242
PARQUET_ZSTD,UPDATE,0.0001868,0.36313
PARQUET_ZSTD,DELETE,0.0002349,0.04115
PARQUET_ZSTD,JOIN,0.0002039,0.08448

GEOJSON_NORMAL,SELECT,0.0001818,0.34422
GEOJSON_NORMAL,INSERT,0.0001858,0.27807
GEOJSON_NORMAL,UPDATE,0.0001910,0.57585
GEOJSON_NORMAL,DELETE,0.0001869,0.24412
GEOJSON_NORMAL,JOIN,0.0002049,0.30319

GEOJSON_GZIP,SELECT,0.0001941,0.28594
GEOJSON_GZIP,INSERT,0.0001852,0.29614
GEOJSON_GZIP,UPDATE,0.0001832,0.58641
GEOJSON_GZIP,DELETE,0.0001862,0.26804
GEOJSON_GZIP,JOIN,0.0002763,0.32788

GPKG_NORMAL,SELECT,0.0001991,0.08102
GPKG_NORMAL,INSERT,0.0001971,0.09180
GPKG_NORMAL,UPDATE,0.0001862,0.38524
GPKG_NORMAL,DELETE,0.0001902,0.06340
GPKG_NORMAL,JOIN,0.0001922,0.11078

GPKG_SIMPLIFIED,SELECT,0.0002601,0.08185
GPKG_SIMPLIFIED,INSERT,0.0001991,0.08803
GPKG_SIMPLIFIED,UPDATE,0.0001891,0.38350
GPKG_SIMPLIFIED,DELETE,0.0002171,0.06196
GPKG_SIMPLIFIED,JOIN,0.0001881,0.09996
