operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
SELECT,geom_data/points.geojson,0.4891271829605103,0.09942915895105273,0.00023800500000000004,6.519297105516822e-05,points,geojson
INSERT,geom_data/points.geojson,0.790990698337555,0.09046496623278885,0.00020939,2.6280675409890057e-05,points,geojson
UPDATE,geom_data/points.geojson,0.8824646592140197,0.1646429405730274,0.000257,8.319667661631684e-05,points,geojson
DELETE,geom_data/points.geojson,0.6528857946395874,0.06309933820055798,0.000214315,3.965304874785797e-05,points,geojson
JOIN,geom_data/points.geojson,1.7662820935249328,0.2083078174374541,0.00023017999999999997,5.3410631900399755e-05,points,geojson
SELECT,geom_data/points.shp,0.2821540594100952,0.08182508636079526,0.000281225,0.00013028619218858153,points,shp
INSERT,geom_data/points.shp,0.667050814628601,0.13530744060989494,0.00038785,7.854792486119542e-05,points,shp
UPDATE,geom_data/points.shp,0.7864582896232605,0.3238015127023052,0.000276925,8.067030355093504e-05,points,shp
DELETE,geom_data/points.shp,1.7378222227096558,0.3794041074552119,0.000270075,9.499137263457142e-05,points,shp
JOIN,geom_data/points.shp,1.6418248057365417,0.15226797779300574,0.00020899500000000001,2.5879788928814706e-05,points,shp
SELECT,geom_data/points.gpkg,0.1583789110183716,0.037151950770716625,0.00023544500000000006,8.754082747495595e-05,points,gpkg
INSERT,geom_data/points.gpkg,0.6246368288993835,0.14918098464114551,0.000267145,4.969630242784669e-05,points,gpkg
UPDATE,geom_data/points.gpkg,1.0875950932502747,1.4255984670968038,0.000262815,6.384979463553503e-05,points,gpkg
DELETE,geom_data/points.gpkg,0.6493497133255005,0.12812356414189005,0.00027377,4.937123757816895e-05,points,gpkg
JOIN,geom_data/points.gpkg,1.4845008373260498,0.2549301285374895,0.00023118000000000002,2.8384319614885977e-05,points,gpkg
SELECT,geom_data/points.parquet,0.05989443063735962,0.02325841542654083,0.00034495500000000003,4.9587866207369726e-05,points,parquet
INSERT,geom_data/points.parquet,0.11856878995895385,0.04696000199040439,0.0003738200000000001,0.00017453632172129678,points,parquet
UPDATE,geom_data/points.parquet,0.22070846557617188,0.044457642547589896,0.00023210500000000003,3.444846114124694e-05,points,parquet
DELETE,geom_data/points.parquet,0.10966954231262208,0.01815279524719946,0.000282735,4.133607716027247e-05,points,parquet
